date,expression,meaning,explanation,example,example_translation,tip,CEFR_level,topic
2026-09-05,Κατάσταση αποτελεσμάτων χρήσης,Income statement / Profit and loss statement (P&L),A financial statement showing the company's revenues and expenses during a particular period.,Η κατάσταση αποτελεσμάτων χρήσης δείχνει σημαντική αύξηση των καθαρών κερδών.,The income statement shows a significant increase in net profits.,,C2,Business and Tax
2026-09-06,Είναι κρυφό,It's a secret,Gossiping about a hidden relationship.,"Τα έχουν, αλλά είναι κρυφό.","They are dating, but it's a secret.",Adds spice to the gossip.,A2,Romantic Gossip
2026-09-06,Δουλεύω από το σπίτι,To work from home,Performing one's job duties remotely from home.,Κάθε Παρασκευή έχω την επιλογή να δουλεύω από το σπίτι.,Every Friday I have the option to work from home.,Also known as 'τηλεργασία' (teleworking).,B1,Office and Work
2026-09-06,Πυρετώδεις διαβουλεύσεις,Feverish consultations,"Describes intense, fast-paced, and often secret negotiations, usually in politics or diplomacy.",Σε εξέλιξη βρίσκονται πυρετώδεις διαβουλεύσεις για τον σχηματισμό κυβέρνησης.,Feverish consultations are underway for the formation of a government.,Use this to emphasize the intensity and urgency of political meetings.,C1,The News
2026-09-07,Τα ταβερνάκια στην Πλάκα είναι γεμάτα τουρίστες.,The small tavernas in Plaka are full of tourists.,"An observation about the most picturesque, but commercialized, neighborhood in Athens.","Δεν βρήκαμε τραπέζι, τα ταβερνάκια στην Πλάκα είναι γεμάτα τουρίστες.","We didn't find a table, the small tavernas in Plaka are full of tourists.",,A2,Sightseeing in Greece
2026-09-07,Η παραλία της Θεσσαλονίκης είναι ιδανική για περπάτημα το σούρουπο.,The promenade of Thessaloniki is ideal for walking at dusk.,A highly recommended activity for visitors to the northern capital.,"Μετά τον καφέ, η παραλία της Θεσσαλονίκης είναι ιδανική για περπάτημα το σούρουπο.","After coffee, the promenade of Thessaloniki is ideal for walking at dusk.",,B1,Sightseeing in Greece
2026-09-07,Εξερεύνηση του διαστήματος,Space exploration,The discovery and exploration of outer space by means of space technology.,Η εξερεύνηση του διαστήματος απαιτεί τεράστιες επενδύσεις.,Space exploration requires huge investments.,,C1,Space and Astronomy
2026-09-08,Πεινάω πολύ,I am very hungry,The most basic way to say you need food.,"Πεινάω πολύ, πάμε να φάμε κάτι;","I am very hungry, shall we go eat something?",You can also say 'πεινάω σαν λύκος' (I'm hungry as a wolf).,A1,Food and Eating
2026-09-08,Η βαλίτσα μου έχει υποστεί ζημιά.,My suitcase is damaged.,Used to report damage to your luggage upon arrival.,Παρέλαβα τη βαλίτσα μου από τον ιμάντα και είδα ότι έχει υποστεί ζημιά. Ο τροχός είναι σπασμένος.,I collected my suitcase from the belt and saw that it is damaged. The wheel is broken.,έχει πάθει ζημιά' is a more colloquial alternative.,B2,Air Travel
2026-09-08,Κλείνει το μάτι στον θεατή,Winks at the viewer,When a film makes a meta-reference or inside joke for the audience.,Ο σκηνοθέτης κλείνει το μάτι στον θεατή με αυτή την αναφορά στα 80s.,The director winks at the viewer with this 80s reference.,Commonly used for Easter eggs.,C2,Movies and Cinema
2026-09-09,Πόσο είναι το ενοίκιο;,How much is the rent?,The primary question regarding the cost.,Ενδιαφέρομαι για το διαμέρισμα στην οδό Παπαναστασίου. Πόσο είναι το ενοίκιο το μήνα;,I am interested in the apartment on Papanastasiou Street. How much is the rent per month?,,A2,Renting a home
2026-09-09,Κλείνω ραντεβού,To book an appointment / schedule a meeting,Arranging a time to meet someone for business.,Πρέπει να κλείσω ραντεβού με τον διευθυντή για αύριο.,I need to schedule a meeting with the manager for tomorrow.,,B1,Office and Work
2026-09-09,Αυτό είναι το απόκομμα ελέγχου της αποσκευής.,This is the baggage claim tag.,The sticker they put on your boarding pass that corresponds to your checked bag.,Ορίστε το διαβατήριό μου και αυτό είναι το απόκομμα ελέγχου της αποσκευής που χάθηκε.,"Here is my passport, and this is the claim tag for the lost piece of luggage.",Απόκομμα' literally means 'stub' or 'counterfoil'.,C1,Air Travel
2026-09-10,Μιλάμε κάθε μέρα,We talk every day,Describing the talking stage of dating.,"Δεν τα έχουμε ακόμα, αλλά μιλάμε κάθε μέρα.","We aren't dating yet, but we talk every day.",Implies texting or calling frequently.,A1,Romantic Gossip
2026-09-10,Έχει πανσέληνο και ο ουρανός είναι γεμάτος αστέρια.,There is a full moon and the sky is full of stars.,Enjoying the night sky away from city lights.,"Σβήσε τον φακό, έχει πανσέληνο και ο ουρανός είναι γεμάτος αστέρια.","Turn off the flashlight, there is a full moon and the sky is full of stars.",,B1,Camping
2026-09-10,Έριξαν τις άγκυρες.,They have dropped the anchors.,The final action before the ship is fully stopped and moored at the port.,Ακούω τον θόρυβο της αλυσίδας. Νομίζω έριξαν τις άγκυρες. Ετοιμαζόμαστε να κατέβουμε.,I hear the noise of the chain. I think they have dropped the anchors. We're getting ready to get off.,,C1,Sea Travel
2026-09-11,Έχουμε κενό την τρίτη ώρα.,We have a free period third hour.,Used when a teacher is absent and the students have no class for that specific hour.,Έχουμε κενό την τρίτη ώρα επειδή λείπει ο καθηγητής.,We have a free period third hour because the teacher is absent.,Κενό' (empty) is the standard slang for a free period.,A2,School and Education
2026-09-11,Παίρνω αύξηση,To get a raise,Receiving an increase in salary.,"Μετά από δύο χρόνια στην εταιρεία, επιτέλους πήρα αύξηση.","After two years in the company, I finally got a raise.",,B1,Office and Work
2026-09-11,Μας έφαγε η αλμύρα όλη μέρα.,The sea salt ate us up all day.,An idiom meaning 'we spent the entire day in the sea/at the beach and we are exhausted but happy'.,"Γυρίσαμε σπίτι πτώματα, μας έφαγε η αλμύρα όλη μέρα.","We came home dead tired, the sea salt ate us up all day.",,C1,Summer and Beach
2026-09-12,Τι κάνεις;,How are you? (informal),The casual way to ask someone how they are. ,"Γειά σου, Μαρία! Τι κάνεις;","Hello, Maria! How are you?",,A1,Human relations
2026-09-12,Ποιο λεωφορείο/τρόλεϊ πάει στο Σύνταγμα;,Which bus/trolleybus goes to Syntagma?,Asking for the specific line number to reach a destination.,"Καλημέρα, θα ήθελα να ρωτήσω ποιο λεωφορείο πάει στο Σύνταγμα από εδώ;","Good morning, I'd like to ask which bus goes to Syntagma from here?",,B1,City Transport
2026-09-12,Αποζημίωση απόλυσης,Severance pay,The compensation an employer provides to an employee who has been laid off.,Η αποζημίωση απόλυσης υπολογίζεται με βάση τα χρόνια προϋπηρεσίας στην εταιρεία.,Severance pay is calculated based on the years of service in the company.,,C1,Business and Tax
2026-09-13,Λίγο νερό,A little water,Asking for a basic necessity.,"Μπορώ να έχω λίγο νερό, σας παρακαλώ;","Can I have a little water, please?",,A1,Food and Eating
2026-09-13,Πώς μαγειρεύεται αυτό;,How is this cooked?,A good question to ask if you are unfamiliar with a dish on the menu.,Το 'αρνί κλέφτικο' ακούγεται ωραίο. Πώς μαγειρεύεται αυτό;,The 'lamb kleftiko' sounds nice. How is this cooked?,"This can help you decide if the preparation method (e.g., grilled, fried, baked) suits your preference.",B2,Eating and drinking
2026-09-13,Ταινία γροθιά στο στομάχι,A film that is a punch to the stomach,"A hard-hitting, deeply disturbing, or emotionally heavy film.",Το ντοκιμαντέρ για τον πόλεμο ήταν μια γροθιά στο στομάχι.,The documentary about the war was a punch to the stomach.,Used extensively in film critiques.,C2,Movies and Cinema
2026-09-14,Ο υπνόσακος μου με κρατάει ζεστό το βράδυ.,My sleeping bag keeps me warm at night.,Talking about camping bedding.,"Αν και κάνει κρύο, ο υπνόσακος μου με κρατάει ζεστό το βράδυ.","Even though it's cold, my sleeping bag keeps me warm at night.",,A2,Camping
2026-09-14,Έγινες κατακόκκινος σαν αστακός από τον ήλιο.,You turned red as a lobster from the sun.,A very common idiom for getting a severe sunburn.,Δεν έβαλες αντηλιακό και έγινες κατακόκκινος σαν αστακός από τον ήλιο.,You didn't put on sunscreen and you turned red as a lobster from the sun.,,B2,Summer and Beach
2026-09-14,Κατοικήσιμη ζώνη,Habitable zone / Goldilocks zone,The orbital region around a star in which an Earth-like planet can possess liquid water on its surface.,Ο νέος πλανήτης βρίσκεται στην κατοικήσιμη ζώνη του άστρου του.,The new planet is located in the habitable zone of its star.,,C2,Space and Astronomy
2026-09-15,Πήραμε όλα τα σχολικά είδη για τη νέα χρονιά.,We got all the school supplies for the new year.,"Refers to buying stationery, notebooks, and pens before school starts.",Πήραμε όλα τα σχολικά είδη για τη νέα χρονιά από το βιβλιοπωλείο.,We got all the school supplies for the new year from the bookstore.,Σχολικά είδη' is the standard term for school supplies/stationery.,A1,School and Education
2026-09-15,Τροχιά,Orbit,"The curved path of a celestial object or spacecraft round a star, planet, or moon.",Ο δορυφόρος μπήκε σε τροχιά γύρω από τη Γη.,The satellite entered orbit around the Earth.,,B2,Space and Astronomy
2026-09-15,Φιλμ νουάρ αισθητική,Film noir aesthetic,"A visual style characterized by high contrast, shadows, and a cynical tone.",Ο διευθυντής φωτογραφίας υιοθέτησε μια καθαρά φιλμ νουάρ αισθητική.,The cinematographer adopted a purely film noir aesthetic.,,C2,Movies and Cinema
2026-09-16,"Πρόσεχε μην πιεις νερό, είναι αλμυρό.","Careful not to swallow water, it's salty.",Advice given to novice swimmers or kids.,"Κράτα το στόμα σου κλειστό και πρόσεχε μην πιεις νερό, είναι αλμυρό.","Keep your mouth closed and careful not to swallow water, it's salty.",,A1,Summer and Beach
2026-09-16,Περνάω από συνέντευξη,To have/go to a job interview,The process of being interviewed for a position.,Αύριο περνάω από συνέντευξη για μια θέση γραμματέα.,Tomorrow I am going to an interview for a secretary position.,,B1,Office and Work
2026-09-16,Εξωδικαστικός συμβιβασμός,Out-of-court settlement,An agreement reached between parties in a dispute without going through a full trial.,Οι δύο εταιρείες κατέληξαν σε εξωδικαστικό συμβιβασμό για να αποφύγουν τα δικαστικά έξοδα.,The two companies reached an out-of-court settlement to avoid legal fees.,,C2,Business and Tax
2026-09-17,Τα σύννεφα ταξιδεύουν στον ουρανό.,The clouds travel in the sky.,"A simple personification that gives clouds agency and purpose. They aren't just moved by the wind; they are 'traveling' (ταξιδεύουν), suggesting a journey with an unknown destination.",Ξάπλωσα στο γρασίδι και παρακολουθούσα τα σύννεφα να ταξιδεύουν στον ουρανό.,I lay on the grass and watched the clouds travel in the sky.,Adds a sense of wonder and imagination to the simple act of cloud-gazing.,A1,Poetry
2026-09-17,"Έχει αεράκι σήμερα, ιδανικό για windsurfing.","There's a breeze today, ideal for windsurfing.",Good conditions for water sports.,"Πάρε τη σανίδα σου, έχει αεράκι σήμερα, ιδανικό για windsurfing.","Grab your board, there's a breeze today, ideal for windsurfing.",,B1,Summer and Beach
2026-09-17,Ανεξάρτητος κινηματογράφος,Independent cinema,Films produced outside the major film studio system.,Ο ανεξάρτητος κινηματογράφος συχνά τολμάει εκεί που το Χόλιγουντ διστάζει.,Independent cinema often dares where Hollywood hesitates.,,C1,Movies and Cinema
2026-09-18,Αύριο το σχολείο πάει μονοήμερη εκδρομή.,Tomorrow the school is going on a one-day field trip.,"Schools in Greece frequently organize day trips to archaeological sites, parks, or museums.","Δεν χρειάζεται να φέρουμε βιβλία, αύριο το σχολείο πάει μονοήμερη εκδρομή.","We don't need to bring books, tomorrow the school is going on a one-day field trip.",,A2,School and Education
2026-09-18,Η προθεσμία λήγει,The deadline expires / is approaching,When the time limit for a task is coming to an end.,"Πρέπει να βιαστούμε, η προθεσμία για το έργο λήγει την Παρασκευή.","We have to hurry, the deadline for the project expires on Friday.",,B2,Office and Work
2026-09-18,Πρόσεχε να προφέρεις καθαρά τη λέξη θάλασσα.,Be careful to pronounce the word 'sea' clearly.,"From a poem by Nobel laureate Odysseas Elytis, this phrase implies that the word 'θάλασσα' itself is so magical and potent that its mere utterance can conjure the beauty and life within it, like dolphins shining.","Πρόσεχε να προφέρεις καθαρά τη λέξη θάλασσα έτσι που να γυαλίσουν μέσα της όλα τα δελφίνια', έγραψε ο ποιητής.","Be careful to pronounce the word 'sea' clearly so that all the dolphins may glisten within it', wrote the poet. ","Use this to express a deep, almost sacred reverence for the sea and the power of language.",C2,Poetry
2026-09-19,Πάμε για κάμπινγκ το Σαββατοκύριακο;,Shall we go camping this weekend?,"A simple, standard invitation to go camping.","Ο καιρός θα είναι τέλειος, πάμε για κάμπινγκ το Σαββατοκύριακο;","The weather will be perfect, shall we go camping this weekend?",,A1,Camping
2026-09-19,Είδα μια τεράστια τσούχτρα δίπλα μου!,I saw a huge jellyfish next to me!,Τσούχτρα' is a stinging jellyfish. Seeing one usually causes people to swim away fast.,Βγήκα τρέχοντας γιατί είδα μια τεράστια τσούχτρα δίπλα μου!,I ran out because I saw a huge jellyfish next to me!,,B1,Summer and Beach
2026-09-19,Σκοτεινή ύλη,Dark matter,Nonluminous material that is postulated to exist in space and that could take any of several forms.,Η σκοτεινή ύλη αποτελεί το μεγαλύτερο μέρος της μάζας του σύμπαντος.,Dark matter makes up most of the mass of the universe.,,C2,Space and Astronomy
2026-09-20,Ένα τραπέζι για δύο,A table for two,Requesting a table at a restaurant.,"Καλησπέρα, θέλουμε ένα τραπέζι για δύο άτομα.","Good evening, we want a table for two people.",Change 'δύο' to any number you need.,A1,Food and Eating
2026-09-20,Η θέα από τον Παρθενώνα είναι πραγματικά συγκλονιστική.,The view from the Parthenon is truly breathtaking.,Expressing awe at Greece's most famous monument.,"Άξιζε η αναμονή, η θέα από τον Παρθενώνα είναι πραγματικά συγκλονιστική.","The wait was worth it, the view from the Parthenon is truly breathtaking.",,B2,Sightseeing in Greece
2026-09-20,Ανήριθμον γέλασμα των κυμάτων.,The countless laughter of the waves.,"An ancient phrase from Aeschylus's 'Prometheus Bound'. It personifies the sea, describing the glistening and playful movement of the waves as innumerable laughters, capturing both the sound and the sight of the sun on the water.","Καθόταν στην ακτή, ακούγοντας το ανήριθμον γέλασμα των κυμάτων.","He sat on the shore, listening to the countless laughter of the waves. ","Perfect for describing a sparkling, sunlit sea that seems alive with joy and movement.",C2,Poetry
2026-09-21,Είναι παντρεμένος,He is married,Stating a major red flag or fact.,"Μην τον κοιτάς, είναι παντρεμένος.","Don't look at him, he is married.",Important vocabulary for gossip.,A1,Romantic Gossip
2026-09-21,Έχω φόρτο εργασίας,To have a heavy workload,Having a large amount of work to do.,Αυτή την περίοδο έχουμε μεγάλο φόρτο εργασίας στο γραφείο.,During this period we have a heavy workload at the office.,,B2,Office and Work
2026-09-21,Υπάρχει πρόσβαση για άτομα με κινητικά προβλήματα;,Is there access for people with mobility issues?,"Asking about accessibility, like ramps or elevators.",Η μητέρα μου χρησιμοποιεί αναπηρικό αμαξίδιο. Υπάρχει πρόσβαση για άτομα με κινητικά προβλήματα σε αυτόν τον σταθμό;,My mother uses a wheelchair. Is there access for people with mobility issues at this station?,,C1,City Transport
2026-09-22,Μου δανείζεις ένα στυλό γιατί μου τέλειωσε το μελάνι;,Can you lend me a pen because I ran out of ink?,A frequent interaction between desk-mates.,Μου δανείζεις ένα στυλό γιατί μου τέλειωσε το μελάνι την ώρα της έκθεσης;,Can you lend me a pen because I ran out of ink during the essay?,,A2,School and Education
2026-09-22,Σήμανε συναγερμός,An alarm was raised / Authorities were alerted,"Used when authorities (police, fire department, etc.) are mobilized due to an emergency.",Σήμανε συναγερμός στην πυροσβεστική για τη φωτιά στο εργοστάσιο.,An alarm was raised at the fire department regarding the factory fire.,Use this to describe the immediate response to a crisis or accident.,B1,The News
2026-09-22,Κόβει την ανάσα,Breathtaking,Used to describe highly suspenseful or visually stunning scenes.,Οι σκηνές καταδίωξης κυριολεκτικά κόβουν την ανάσα.,The chase scenes are literally breathtaking.,,C1,Movies and Cinema
2026-09-23,Έχω αλλεργία,I have an allergy,Crucial phrase for food safety.,"Προσοχή με τους ξηρούς καρπούς, ο γιος μου έχει αλλεργία.","Careful with the nuts, my son has an allergy.",Always mention this before ordering if needed.,A2,Food and Eating
2026-09-23,Επιπλέω ανάσκελα και χαλαρώνω.,I'm floating on my back and relaxing.,The best way to rest in calm waters.,"Δεν θέλω να κολυμπήσω άλλο, απλώς επιπλέω ανάσκελα και χαλαρώνω.","I don't want to swim anymore, I'm just floating on my back and relaxing.",,B1,Summer and Beach
2026-09-23,Διαχείριση κινδύνου,Risk management,The forecasting and evaluation of financial risks together with the identification of procedures to avoid or minimize their impact.,Η τράπεζα διαθέτει ειδικό τμήμα για τη διαχείριση κινδύνου των επενδύσεών της.,The bank has a special department for the risk management of its investments.,,C1,Business and Tax
2026-09-24,Πόσα υπνοδωμάτια έχει;,How many bedrooms does it have?,A basic question about the layout.,Ψάχνω για διαμέρισμα με δύο υπνοδωμάτια. Το συγκεκριμένο διαμέρισμα πόσα υπνοδωμάτια έχει;,I'm looking for an apartment with two bedrooms. How many bedrooms does this particular apartment have?,,A2,Renting a home
2026-09-24,Παίρνετε κάποια φαρμακευτική αγωγή;,Are you taking any medication?,The doctor asks this to check for current treatments or potential drug interactions.,Παίρνετε κάποια φαρμακευτική αγωγή αυτή την περίοδο;,Are you taking any medication at this time?,Φαρμακευτική αγωγή' is the formal medical term for medication/treatment.,B1,Seeing the Doctor
2026-09-24,Υπερπαραγωγή,Super-production / Blockbuster,A film made with a massive budget and large-scale sets.,Η νέα ιστορική υπερπαραγωγή κόστισε πάνω από διακόσια εκατομμύρια.,The new historical super-production cost over two hundred million.,,C1,Movies and Cinema
2026-09-25,Είναι γλυκιά,She is sweet,"Describing a nice, kind person.",Η Μαρία είναι πολύ γλυκιά κοπέλα.,Maria is a very sweet girl.,Focuses on personality.,A1,Romantic Gossip
2026-09-25,"Παρακαλώ, επαναφέρετε το κάθισμά σας σε όρθια θέση.",Please return your seat to the upright position.,A standard request from the crew during take-off and landing.,Ο αεροσυνοδός μου ζήτησε να επαναφέρω το κάθισμά μου σε όρθια θέση πριν την απογείωση.,The flight attendant asked me to return my seat to the upright position before take-off.,,B2,Air Travel
2026-09-25,Μου γυρίζει το άντερο,It turns my stomach / I am disgusted,Literally 'it turns my gut'. Used for extreme physical or moral disgust.,"Μόνο που τον ακούω να μιλάει έτσι, μου γυρίζει το άντερο.",Just hearing him speak like that turns my stomach.,"Very expressive, use with caution in formal settings.",C1,Yes and no
2026-09-26,Συγγνώμη,Excuse me / Sorry,Used to get someone's attention or to apologize.,"Συγγνώμη, μπορείτε να με βοηθήσετε;","Excuse me, can you help me?",,A2,Human relations
2026-09-26,Προωθώ ένα email,To forward an email,Sending an email you received to someone else.,Σου προωθώ το email που μου έστειλε ο πελάτης.,I am forwarding you the email the client sent me.,,B1,Office and Work
2026-09-26,Ξέπλυμα μαύρου χρήματος,Money laundering,The illegal process of making large amounts of money generated by a criminal activity appear to have come from a legitimate source.,Η νομοθεσία κατά του ξεπλύματος μαύρου χρήματος έχει γίνει πολύ αυστηρή για τις τράπεζες.,The anti-money laundering legislation has become very strict for banks.,,C1,Business and Tax
2026-09-27,Σήκωσε το χέρι σου αν ξέρεις την απάντηση.,Raise your hand if you know the answer.,The standard rule for participating in class without shouting out.,"Μην φωνάζετε όλοι μαζί, σήκωσε το χέρι σου αν ξέρεις την απάντηση.","Don't all shout at once, raise your hand if you know the answer.",,A2,School and Education
2026-09-27,Η γη μυρίζει βροχή.,The earth smells of rain.,"This refers to the specific, earthy scent known as 'petrichor' that rises from dry soil when rain begins to fall. It's a very evocative and universally recognized sensory experience.",Άνοιξα το παράθυρο και κατάλαβα ότι ερχόταν μπόρα· η γη μύριζε βροχή.,I opened the window and knew a storm was coming; the earth smelled of rain.,"A powerful way to signal an impending or recent rainfall, appealing directly to the sense of smell.",B1,Poetry
2026-09-27,Ο καταπέλτης είναι έτοιμος για την αποβίβαση.,The ramp is ready for disembarkation.,The 'καταπέλτης' is the large ramp at the back of the ferry for passengers and vehicles.,"Ακούω μια ανακοίνωση. Ναι, λένε ότι ο καταπέλτης είναι έτοιμος για την αποβίβαση.","I hear an announcement. Yes, they are saying the ramp is ready for disembarkation.",,C1,Sea Travel
2026-09-28,Τρώω υγιεινά,I eat healthily,Talking about diet habits.,Τον τελευταίο καιρό τρώει πολύ υγιεινά.,Lately he has been eating very healthily.,,A2,Food and Eating
2026-09-28,"Το νερό είναι κρύο στην αρχή, αλλά μετά συνηθίζεις.","The water is cold at first, but then you get used to it.",The universal encouragement given to someone hesitating to enter the sea.,"Έλα μέσα, το νερό είναι κρύο στην αρχή, αλλά μετά συνηθίζεις!","Come in, the water is cold at first, but then you get used to it!",,B1,Summer and Beach
2026-09-28,Τον / Την έκανε τάρανδο,To cheat on someone blatantly,Literally 'made him/her a reindeer'. Refers to giving someone 'horns' (cuckolding them).,Όλη η Αθήνα ξέρει ότι τον έκανε τάρανδο.,All of Athens knows she made him a reindeer (cheated on him).,A humorous but harsh way to describe infidelity.,C1,Romantic gossip
2026-09-29,Έκτακτο δελτίο,Breaking news / Special news bulletin,A sudden interruption of regular broadcasting to report urgent news.,Το κανάλι διέκοψε το πρόγραμμά του για ένα έκτακτο δελτίο ειδήσεων.,The channel interrupted its programming for a breaking news bulletin.,A basic but essential term for anyone following Greek television or radio.,A2,The News
2026-09-29,Έχασα την πτήση μου. Τι μπορώ να κάνω;,I missed my flight. What can I do?,The unfortunate question you ask at the airline's ticket counter after arriving too late.,Έφτασα αργά στο αεροδρόμιο και έχασα την πτήση μου. Υπάρχει κάποια λύση;,I arrived late at the airport and missed my flight. Is there any solution?,This is the nightmare scenario!,B1,Air Travel
2026-09-29,Το πλοίο θα πιάσει λιμάνι σε λίγο.,The ship will dock at the port shortly.,A common phrase meaning the ship is about to arrive and moor.,Ο καπετάνιος ανακοίνωσε ότι το πλοίο θα πιάσει λιμάνι σε περίπου 15 λεπτά.,The captain announced that the ship will dock at the port in about 15 minutes.,πιάνω λιμάνι' is an idiomatic way to say 'to arrive at a port'.,C1,Sea Travel
2026-09-30,Στην Ελλάδα δεν φοράμε σχολικές στολές.,In Greece we don't wear school uniforms.,"Explaining the dress code in Greek public schools, where uniforms were abolished in the 1980s.","Στην Ελλάδα δεν φοράμε σχολικές στολές, τα παιδιά φορούν τα καθημερινά τους ρούχα.","In Greece we don't wear school uniforms, kids wear their everyday clothes.",,A2,School and Education
2026-09-30,Πρέπει να πάμε στο γκαράζ τώρα;,Should we go to the garage now?,"A question for passengers who have a car on board, as they are usually called to their vehicles before arriving at the port.","Ο κόσμος αρχίζει να κατεβαίνει. Εμείς που έχουμε αυτοκίνητο, πρέπει να πάμε στο γκαράζ τώρα;","People are starting to go downstairs. Since we have a car, should we go to the garage now?",,B1,Sea Travel
2026-09-30,Μητρώο πραγματικών δικαιούχων,Ultimate Beneficial Owner (UBO) register,A database containing information on the individuals who ultimately own or control a legal entity.,Όλες οι εταιρείες υποχρεούνται να δηλώσουν τους μετόχους τους στο μητρώο πραγματικών δικαιούχων.,All companies are required to declare their shareholders in the UBO register.,,C2,Business and Tax
2026-10-01,Πάμε για μια βουτιά;,Let's go for a dip?,The most common way to suggest going into the sea to swim.,"Κάνει πολλή ζέστη, πάμε για μια βουτιά;","It's very hot, let's go for a dip?","Βουτιά' literally means 'dive', but it's used generally for 'a swim'.",A1,Summer and Beach
2026-10-01,Πνίγομαι στη δουλειά,To be drowning in work,An idiom meaning to be extremely busy or overwhelmed with tasks.,"Δεν μπορώ να βγω σήμερα, πνίγομαι στη δουλειά.","I can't go out today, I'm drowning in work.",,B2,Office and Work
2026-10-01,Ταινία δωματίου,Chamber film,"A film set in a single room or limited space, focusing on dialogue.",Το '12 Ένορκοι' είναι το απόλυτο αριστούργημα της ταινίας δωματίου.,12 Angry Men' is the absolute masterpiece of the chamber film.,,C2,Movies and Cinema
2026-10-02,Γειά σου,Hello (informal),"A casual greeting for friends, family, and people you know well.","Γειά σου, Κώστα, τι κάνεις;","Hello Kosta, how are you?",Use 'Γειά σας' (Yia sas) for formal situations or when addressing a group.,A1,Greetings
2026-10-02,"Τα βράχια γλιστράνε, πρόσεχε πώς περπατάς.","The rocks are slippery, watch how you walk.",A warning when exploring rocky coves.,"Φόρεσε παπούτσια θαλάσσης γιατί τα βράχια γλιστράνε, πρόσεχε πώς περπατάς.","Wear water shoes because the rocks are slippery, watch how you walk.",,B1,Summer and Beach
2026-10-02,Καλλιτεχνικό όραμα,Artistic vision,The unique creative direction and aesthetic of a filmmaker.,Το στούντιο δεν παρενέβη στο καλλιτεχνικό όραμα του σκηνοθέτη.,The studio did not interfere with the director's artistic vision.,,C1,Movies and Cinema
2026-10-03,"Η άμμος καίει, βάλε τις σαγιονάρες σου!","The sand is burning, put on your flip-flops!",When the midday sun makes the sand too hot to walk on barefoot.,"Μην περπατάς ξυπόλητος, η άμμος καίει, βάλε τις σαγιονάρες σου!","Don't walk barefoot, the sand is burning, put on your flip-flops!",,A2,Summer and Beach
2026-10-03,Έχω μια πτήση με ανταπόκριση.,I have a connecting flight.,Informing airline staff that you have another flight to catch.,"Η πρώτη μου πτήση είχε καθυστέρηση. Έχω μια πτήση με ανταπόκριση για τη Νέα Υόρκη σε μία ώρα, θα προλάβω;","My first flight was delayed. I have a connecting flight to New York in one hour, will I make it?",Ανταπόκριση' means 'connection' or 'response'.,B2,Air Travel
2026-10-03,Βωβός κινηματογράφος,Silent cinema,Films without synchronized recorded sound or spoken dialogue.,Ο Τσάρλι Τσάπλιν παραμένει ο βασιλιάς του βωβού κινηματογράφου.,Charlie Chaplin remains the king of silent cinema.,,C1,Movies and Cinema
2026-10-04,Σε ποιον όροφο βρίσκεται;,What floor is it on?,Important for knowing about stairs or elevator access.,Θα ήθελα να ρωτήσω σε ποιον όροφο της πολυκατοικίας βρίσκεται το διαμέρισμα.,I would like to ask what floor of the building the apartment is on.,,A2,Renting a home
2026-10-04,Βαρύτητα,Gravity,"The force that attracts a body towards the centre of the earth, or towards any other physical body having mass.","Στο φεγγάρι, η βαρύτητα είναι πολύ μικρότερη από ό,τι στη Γη.","On the moon, gravity is much lower than on Earth.",,B2,Space and Astronomy
2026-10-04,Έτος φωτός,Light year,A unit of astronomical distance equivalent to the distance that light travels in one year.,Ο πλησιέστερος αστέρας απέχει περίπου τέσσερα έτη φωτός από εμάς.,The nearest star is about four light years away from us.,,C1,Space and Astronomy
2026-10-05,Έχουμε ραντεβού,We have a date,Announcing romantic plans.,Το Σάββατο το βράδυ έχουμε ραντεβού.,Saturday night we have a date.,Simple and direct.,A1,Romantic Gossip
2026-10-05,Μοιράζομαι το γραφείο,To share an office/desk,Working in the same physical space as someone else.,Μοιράζομαι το γραφείο με άλλους δύο συναδέλφους.,I share the office with two other colleagues.,,B1,Office and Work
2026-10-05,Ερμηνεία ζωής,Performance of a lifetime,The best acting performance an actor has ever given.,Ο Ντε Νίρο έδωσε την ερμηνεία της ζωής του σε αυτή την ταινία.,De Niro gave the performance of a lifetime in this movie.,,C1,Movies and Cinema
2026-10-06,Περπατήσαμε στα βενετσιάνικα σοκάκια του Ρεθύμνου.,We walked in the Venetian alleys of Rethymno.,Exploring the well-preserved old town in Crete.,"Μετά το φαγητό, περπατήσαμε στα βενετσιάνικα σοκάκια του Ρεθύμνου.","After eating, we walked in the Venetian alleys of Rethymno.",,A2,Sightseeing in Greece
2026-10-06,Κρατήστε τα ρέστα.,Keep the change.,A common way to leave a tip when paying in cash.,"Ορίστε, 50 ευρώ. Κρατήστε τα ρέστα.","Here you are, 50 euros. Keep the change.",Tipping is appreciated but not obligatory. Rounding up the bill or leaving 5-10% is standard practice for good service.,B1,Eating and drinking
2026-10-06,Κινηματογραφική αφήγηση,Cinematic narrative,"The way a story is told through the medium of film (visuals, sound, editing).",Η κινηματογραφική αφήγηση του Ταραντίνο είναι πάντα μη γραμμική.,Tarantino's cinematic narrative is always non-linear.,,C2,Movies and Cinema
